time,open,high,low,close,tick_volume,spread,real_volume
2008-05-16 15:42:00,73130,73150,73120,73150,6,1,18
2008-05-16 15:43:00,73170,73200,73150,73190,21,1,63
2008-05-16 15:44:00,73190,73240,73190,73220,20,1,60
2008-05-16 15:45:00,73220,73270,73220,73250,16,1,48
2008-05-16 15:46:00,73240,73280,73230,73280,16,1,48
2008-05-16 15:47:00,73275,73290,73230,73230,17,1,51
2008-05-16 15:48:00,73230,73250,73230,73250,5,1,15
2008-05-16 15:49:00,73240,73240,73180,73190,12,1,36
2008-05-16 15:50:00,73200,73210,73190,73190,5,1,15
2008-05-16 15:51:00,73190,73205,73180,73205,4,1,12
2008-05-16 15:52:00,73220,73230,73210,73210,4,1,12
2008-05-16 15:53:00,73205,73240,73205,73235,4,1,12
2008-05-16 15:54:00,73230,73280,73230,73250,12,1,36
2008-05-16 15:55:00,73250,73300,73250,73300,11,1,33
2008-05-16 15:56:00,73300,73340,73280,73295,12,1,36
2008-05-16 15:57:00,73290,73305,73270,73290,12,1,36
2008-05-16 15:58:00,73290,73305,73220,73220,11,1,33
2008-05-16 15:59:00,73220,73300,73220,73270,9,1,27
2008-05-16 16:00:00,73270,73295,73250,73295,4,1,12
2008-05-16 16:01:00,73280,73325,73265,73265,12,1,36
2008-05-16 16:02:00,73280,73330,73270,73330,10,1,30
2008-05-16 16:03:00,73320,73320,73290,73290,4,1,12
2008-05-16 16:04:00,73300,73300,73260,73270,10,1,30
2008-05-16 16:05:00,73270,73270,73250,73250,4,1,12
2008-05-16 16:06:00,73275,73300,73275,73280,10,1,30
2008-05-16 16:07:00,73290,73340,73290,73330,10,1,30
2008-05-16 16:08:00,73305,73320,73300,73300,11,1,33
2008-05-16 16:09:00,73280,73330,73280,73330,8,1,24
2008-05-16 16:10:00,73330,73360,73325,73350,9,1,27
2008-05-16 16:11:00,73345,73380,73345,73350,5,1,15
2008-05-16 16:12:00,73330,73350,73330,73350,2,1,6
2008-05-16 16:13:00,73340,73410,73340,73400,19,1,57
2008-05-16 16:14:00,73400,73400,73300,73320,18,1,54
2008-05-16 16:15:00,73315,73350,73300,73350,9,1,27
2008-05-16 16:16:00,73340,73350,73340,73350,2,1,6
2008-05-16 16:17:00,73340,73390,73340,73375,6,1,18
2008-05-16 16:18:00,73370,73380,73340,73380,12,1,36
2008-05-16 16:19:00,73395,73395,73340,73365,13,1,39
2008-05-16 16:20:00,73375,73400,73375,73380,10,1,30
2008-05-16 16:21:00,73400,73400,73350,73350,8,1,24
2008-05-16 16:22:00,73340,73350,73310,73350,8,1,24
2008-05-16 16:23:00,73325,73380,73325,73380,6,1,18
2008-05-16 16:24:00,73360,73360,73325,73350,12,1,36
2008-05-16 16:25:00,73350,73380,73350,73370,6,1,18
2008-05-16 16:26:00,73385,73385,73305,73320,19,1,57
2008-05-16 16:27:00,73320,73350,73320,73350,2,1,6
2008-05-16 16:28:00,73350,73360,73305,73320,10,1,30
2008-05-16 16:29:00,73315,73340,73285,73340,10,1,30
2008-05-16 16:30:00,73330,73350,73320,73330,10,1,30
